group_id,tier,category,template,format,w_bits,a_bits,k_bits,v_bits,run_count,valid_area_count,timing_met_count,min_area_among_timing_met_um2,fastest_period_met_ns,max_achieved_fmax_mhz,library_set_id,status
KV_DEQ_I3_TO_I8_L16,L2,quant_kv_logic,kv_dequant,fixed_point,,,3,3,3,3,3,447.993008,0.9,1115.02423912,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
KV_DEQ_I4_TO_I8_L16,L1,quant_kv_logic,kv_dequant,fixed_point,,,4,4,3,3,3,558.649012,0.9,1115.43745923,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
KV_DEQ_I8_BYPASS_L16,L2,quant_kv_logic,kv_dequant,fixed_point,,,8,8,3,3,3,36.855,0.9,3631.49083593,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
KV_DEQ_MIXED_2_4_8_TO_I8_L16,L1,quant_kv_logic,kv_dequant_mixed,fixed_point,,,,,3,3,3,1404.949026,0.9,1111.15018668,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
PE_RECONFIG_W4A4_W4A8_W8A8,L1,deployable_pe,mixed_mode,signed_integer_mixed,,,,,3,3,3,898.352018,0.9,1111.35878359,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
PE_RECONFIG_W4A8_W8A8_SCALE,L1,deployable_pe,mixed_mode,signed_integer_mixed,,,,,3,3,3,1258.348026,0.9,1111.32344674,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
PE_W4A16_L2,L1,deployable_pe,packed_dot,signed_integer,4,16,,,3,3,3,401.492007,0.9,1111.67020464,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
PE_W4A4_L8,L1,deployable_pe,packed_dot,signed_integer,4,4,,,3,3,3,419.146007,0.9,1112.84772235,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
PE_W4A8_L4,L1,deployable_pe,packed_dot,signed_integer,4,8,,,3,3,3,378.924007,0.9,1111.17785759,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
PE_W8A8_L4,L1,deployable_pe,packed_dot,signed_integer,8,8,,,3,3,3,590.954014,0.9,1111.37534801,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
REQUANT_I32_TO_I4,L1,quant_kv_logic,requant,fixed_point,,,,,3,3,3,746.200021,0.9,1111.19964212,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
REQUANT_I32_TO_I8,L1,quant_kv_logic,requant,fixed_point,,,,,3,3,3,754.026021,0.9,1111.26073126,cln22ul_sc6p5mcpp140z_base_svt_c35_r3p0_tt_0p80v_25c,complete
