rank,repository,downloads_m,mapped_architecture_family
35,HuggingFaceTB/SmolLM2-135M,2.53,Llama/Yi/SmolLM dense
36,Qwen/Qwen2.5-Coder-7B-Instruct,2.44,Qwen2/2.5 dense
37,Qwen/Qwen2.5-32B-Instruct,2.33,Qwen2/2.5 dense
38,nvidia/Gemma-4-31B-IT-NVFP4,2.26,Gemma4 dense
39,Qwen/Qwen3-14B-AWQ,2.25,Qwen3 dense
40,distilbert/distilgpt2,2.24,GPT-2 dense
41,Qwen/Qwen2.5-Coder-14B-Instruct,2.21,Qwen2/2.5 dense
42,ornith-ai/Ornith-1.0-9B,2.21,Qwen3.5/3.6 hybrid dense
43,TinyLlama/TinyLlama-1.1B-Chat-v1.0,2.18,Llama/Yi/SmolLM dense
44,Qwen/Qwen2.5-14B-Instruct-AWQ,2.17,Qwen2/2.5 dense
45,ibm-granite/granite-4.1-8b,2.12,Granite4 hybrid
46,Qwen/Qwen-72B,2.04,Qwen1 dense
47,Qwen/Qwen3-14B,2.0,Qwen3 dense
48,zai-org/GLM-4.7-Flash,1.99,GLM DSA MoE
49,Qwen/Qwen2.5-0.5B,1.9,Qwen2/2.5 dense
50,prism-ml/Ternary-Bonsai-27B-mlx-2bit,1.89,Qwen3.5/3.6 hybrid dense
51,prism-ml/Bonsai-27B-mlx-1bit,1.87,Qwen3.5/3.6 hybrid dense
52,antirez/deepseek-v4-gguf,1.82,DeepSeek V4 hybrid MoE
53,zai-org/GLM-5.2-FP8,1.77,GLM DSA MoE
54,deepseek-ai/DeepSeek-V4-Flash,1.76,DeepSeek V4 hybrid MoE
55,Qwen/Qwen3-Coder-Next-FP8,1.75,Qwen3.5/3.6 hybrid MoE
56,Qwen/Qwen3-8B-AWQ,1.74,Qwen3 dense
57,meta-llama/Meta-Llama-3-8B-Instruct,1.73,Llama/Yi/SmolLM dense
58,nvidia/Gemma-4-26B-A4B-NVFP4,1.65,Gemma4 MoE
59,Qwen/Qwen3-30B-A3B-Instruct-2507,1.64,Qwen3 MoE
60,google/gemma-3-270m,1.63,Gemma3 dense
61,HuggingFaceTB/SmolLM2-135M-Instruct,1.61,Llama/Yi/SmolLM dense
62,farbodtavakkoli/OTel-LLM-E4B-IT,1.57,Gemma4 MoE
63,microsoft/phi-2,1.56,Phi-2 dense
64,meta-llama/Llama-3.2-1B,1.55,Llama/Yi/SmolLM dense
65,Qwen/Qwen2.5-Coder-32B-Instruct,1.47,Qwen2/2.5 dense
66,JonathanColetti/Qwen3.8-27B-Uncensored-GGUF,1.46,Qwen3.5/3.6 hybrid dense
67,Qwen/Qwen2-1.5B-Instruct,1.43,Qwen2/2.5 dense
68,Qwen/Qwen2.5-Coder-32B-Instruct-AWQ,1.4,Qwen2/2.5 dense
69,bigscience/bloomz-560m,1.38,BLOOM dense
70,QuantTrio/Qwen3-VL-30B-A3B-Instruct-AWQ,1.37,Qwen3 MoE
71,apple/OpenELM-1_1B-Instruct,1.35,OpenELM dense
72,ibm-research/PowerMoE-3b,1.33,PowerMoE
73,meta-llama/Meta-Llama-3-8B,1.32,Llama/Yi/SmolLM dense
74,nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-NVFP4,1.32,Nemotron3 hybrid MoE
75,trl-internal-testing/tiny-Qwen3ForCausalLM,1.31,Qwen3 dense
76,Qwen/Qwen2.5-Coder-14B-Instruct-AWQ,1.31,Qwen2/2.5 dense
77,Qwen/Qwen3-Coder-30B-A3B-Instruct-FP8,1.29,Qwen3 MoE
78,nvidia/GLM-5.2-NVFP4,1.27,GLM DSA MoE
79,sshleifer/tiny-gpt2,1.23,GPT-2 dense
80,Qwen/Qwen3-1.7B-Base,1.22,Qwen3 dense
81,Qwen/Qwen3-4B-Instruct-2507-FP8,1.19,Qwen3 dense
82,mistralai/Mistral-7B-Instruct-v0.2,1.18,Mistral dense
83,deepseek-ai/DeepSeek-V3.2,1.18,DeepSeek V3/R1 MLA MoE
84,openai-community/gpt2-large,1.18,GPT-2 dense
85,nvidia/Qwen3.6-27B-NVFP4,1.15,Qwen3.5/3.6 hybrid dense
86,farbodtavakkoli/OTel-LLM-27B-IT,1.15,Gemma4 dense
87,deepseek-ai/DeepSeek-R1-0528-Qwen3-8B,1.14,Qwen3 dense
88,Qwen/Qwen3-4B-Base,1.11,Qwen3 dense
89,Bahushruth/Qwen3.6-35B-A3B-abliterated-v4,1.08,Qwen3.5/3.6 hybrid MoE
90,sakamakismile/Qwen3.6-27B-Text-NVFP4-MTP,1.07,Qwen3.5/3.6 hybrid dense
